top - 14:14:31 up 57 min,  1 user,  load average: 0.02, 0.01, 0.00
Tasks: 201 total,   1 running, 193 sleeping,   7 stopped,   0 zombie
%Cpu(s):  0.0 us, 50.0 sy,  0.0 ni, 50.0 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st 
MiB Mem :  15963.3 total,  14126.4 free,   1231.1 used,    899.3 buff/cache     
MiB Swap:      0.0 total,      0.0 free,      0.0 used.  14732.2 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
    852 root      20   0 6568468  72156  50784 S   6.2   0.4   0:40.80 Xorg
   7275 4majkutb  20   0   23220   5364   3304 R   6.2   0.0   0:00.01 top
      1 root      20   0  168256  12724   9196 S   0.0   0.1   0:00.64 systemd
      2 root      20   0       0      0      0 S   0.0   0.0   0:00.00 kthreadd
      3 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_gp
      4 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_par+
      5 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 slub_fl+
      6 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 netns
      8 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     10 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 mm_perc+
     11 root      20   0       0      0      0 I   0.0   0.0   0:00.00 rcu_tas+
     12 root      20   0       0      0      0 I   0.0   0.0   0:00.00 rcu_tas+
     13 root      20   0       0      0      0 I   0.0   0.0   0:00.00 rcu_tas+
     14 root      20   0       0      0      0 S   0.0   0.0   0:00.07 ksoftir+
     15 root      20   0       0      0      0 I   0.0   0.0   0:00.60 rcu_pre+
     16 root      rt   0       0      0      0 S   0.0   0.0   0:00.01 migrati+
     18 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/0
     19 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/1
     20 root      rt   0       0      0      0 S   0.0   0.0   0:00.10 migrati+
     21 root      20   0       0      0      0 S   0.0   0.0   0:00.02 ksoftir+
     23 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     24 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/2
     25 root      rt   0       0      0      0 S   0.0   0.0   0:00.10 migrati+
     26 root      20   0       0      0      0 S   0.0   0.0   0:00.01 ksoftir+
     29 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/3
     30 root      rt   0       0      0      0 S   0.0   0.0   0:00.11 migrati+
     31 root      20   0       0      0      0 S   0.0   0.0   0:00.02 ksoftir+
     33 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     37 root      20   0       0      0      0 I   0.0   0.0   0:00.82 kworker+
     38 root      20   0       0      0      0 S   0.0   0.0   0:00.00 kdevtmp+
     39 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 inet_fr+
     40 root      20   0       0      0      0 S   0.0   0.0   0:00.00 kauditd
     41 root      20   0       0      0      0 S   0.0   0.0   0:00.00 khungta+
     42 root      20   0       0      0      0 S   0.0   0.0   0:00.00 oom_rea+
     43 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 writeba+
     44 root      20   0       0      0      0 S   0.0   0.0   0:00.09 kcompac+
     45 root      25   5       0      0      0 S   0.0   0.0   0:00.00 ksmd
     46 root      39  19       0      0      0 S   0.0   0.0   0:00.14 khugepa+
     47 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kintegr+
     48 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kblockd
     49 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 blkcg_p+
     50 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 tpm_dev+
     51 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 edac-po+
     52 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 devfreq+
     53 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     54 root      20   0       0      0      0 S   0.0   0.0   0:00.00 kswapd0
     61 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kthrotld
     63 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 acpi_th+
     66 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 mld
     67 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 ipv6_ad+
     72 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kstrp
     77 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 zswap-s+
     78 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    106 root      20   0       0      0      0 I   0.0   0.0   0:00.15 kworker+
    132 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    135 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    136 root       0 -20       0      0      0 I   0.0   0.0   0:00.02 kworker+
    158 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 ata_sff
    159 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    160 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 scsi_tm+
    161 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    162 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 scsi_tm+
    163 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    164 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 scsi_tm+
    165 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    166 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 scsi_tm+
    176 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    179 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kdmflus+
    211 root      20   0       0      0      0 S   0.0   0.0   0:00.02 jbd2/dm+
    212 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 ext4-rs+
    262 root      20   0   49760  20820  17348 S   0.0   0.1   0:00.22 systemd+
    294 root      20   0   27876   7252   4692 S   0.0   0.0   0:00.12 systemd+
    350 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/28-+
    355 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 watchdo+
    418 root      20   0       0      0      0 I   0.0   0.0   0:00.04 kworker+
    426 root      20   0       0      0      0 S   0.0   0.0   0:00.00 nv_queue
    427 root      20   0       0      0      0 S   0.0   0.0   0:00.00 nv_queue
    428 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 cryptd
    437 root      20   0       0      0      0 S   0.0   0.0   0:00.00 jbd2/sd+
    439 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 ext4-rs+
    519 _rpc      20   0    7880   3956   3492 S   0.0   0.0   0:00.00 rpcbind
    541 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rpciod
    542 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 xprtiod
    562 root      20   0       0      0      0 S   0.0   0.0   0:00.00 nvidia-+
    563 root      20   0       0      0      0 S   0.0   0.0   0:00.00 nvidia-+
    569 avahi     20   0   18520   3904   3360 S   0.0   0.0   0:00.41 avahi-d+
    570 message+  20   0   29848   5924   4040 S   0.0   0.0   0:00.23 dbus-da+
    572 root      -2   0  230020   6696   4232 S   0.0   0.0   0:00.01 low-mem+
    574 polkitd   20   0  337404  12932   7572 S   0.0   0.1   0:00.14 polkitd
    575 root      20   0  239524   9484   6680 S   0.0   0.1   0:00.01 power-p+
    576 nvpd      20   0    6524   2148   1872 S   0.0   0.0   0:02.18 nvidia-+
    577 root      20   0   55624  13596  11456 S   0.0   0.1   0:00.05 sssd
    578 root      20   0  235792  10460   5836 S   0.0   0.1   0:00.01 switche+
    579 root      20   0  395052  15648  10468 S   0.0   0.1   0:00.41 udisksd
    580 avahi     20   0   18240    324      0 S   0.0   0.0   0:00.00 avahi-d+
    595 root      -2   0       0      0      0 S   0.0   0.0   0:00.00 psimon
    613 root      20   0  269988  21700  16840 S   0.0   0.1   0:00.11 Network+
    615 root      20   0   16532   5944   5080 S   0.0   0.0   0:00.01 wpa_sup+
    618 root      20   0  243596  14020  10136 S   0.0   0.1   0:00.04 ModemMa+
    679 root      20   0   88968  51068  49020 S   0.0   0.3   0:00.09 sssd_nss
    680 root      20   0   56884  16912  14800 S   0.0   0.1   0:00.08 sssd_pam
    688 root      20   0  239488   9684   6712 S   0.0   0.1   0:00.05 account+
    689 root      20   0   58708   8572   7236 S   0.0   0.1   0:00.07 systemd+
    790 root      20   0   29568   9128   7492 S   0.0   0.1   0:00.01 cupsd
    793 root      20   0  133836  30340  11376 S   0.0   0.2   0:00.21 python3+
    800 _chrony   20   0   18860   3196   2588 S   0.0   0.0   0:00.03 chronyd
    801 _chrony   20   0   10556   3012   2448 S   0.0   0.0   0:00.00 chronyd
    802 root      20   0   15432   8720   7476 S   0.0   0.1   0:00.00 sshd
    804 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 nfsiod
    807 root      20   0  176252  17088  11084 S   0.0   0.1   0:00.01 cups-br+
    823 root      20   0       0      0      0 I   0.0   0.0   0:00.00 NFSv4 c+
    839 root      20   0    9140   2732   2484 S   0.0   0.0   0:00.00 cron
    842 root      20   0  317472   7492   6476 S   0.0   0.0   0:00.02 lightdm
